gene_id	ko	assignment	score_type	threshold	bit_score	e_value	domain_bit_score	domain_e_value	definition
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1406232_15	K01962	threshold	domain	407.87	408.6	7.7e-123	408.2	9.9e-123	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1406232_2	K08999	threshold	full	26.07	186.0	1.7e-55	185.7	2.2e-55	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1406232_5	K01586	threshold	full	331.4	508.9	3e-153	508.7	3.6e-153	diaminopimelate decarboxylase [EC:4.1.1.20]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1406232_6	K18478	threshold	domain	250.37	324.2	1.5e-97	323.9	1.8e-97	sulfofructose kinase [EC:2.7.1.184]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_1	K02338	threshold	full	49.83	325.9	9.7e-98	325.8	1.1e-97	DNA polymerase III subunit beta [EC:2.7.7.7]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_12	K07010	threshold	full	125.57	229.3	1.4e-68	229.0	1.7e-68	putative glutamine amidotransferase
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_13	K00655	threshold	domain	131.9	191.3	4.4e-57	191.0	5.3e-57	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_14	K11754	threshold	domain	373.47	484.1	1.5e-145	483.8	1.9e-145	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_16	K02338	threshold	full	49.83	352.6	7.9e-106	352.5	8.7e-106	DNA polymerase III subunit beta [EC:2.7.7.7]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_3	K03496	threshold	full	129.83	328.5	1.5e-98	328.2	1.8e-98	chromosome partitioning protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_4	K03497	threshold	full	54.6	263.0	1.4e-78	262.8	1.5e-78	ParB family transcriptional regulator, chromosome partitioning protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_5	K00507	threshold	full	62.9	275.5	1.8e-82	275.2	2.2e-82	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_6	K03564	threshold	full	160.93	236.2	9.3e-71	236.1	1e-70	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_8	K00657	threshold	full	120.73	200.3	1e-59	200.1	1.2e-59	diamine N-acetyltransferase [EC:2.3.1.57]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_9	K04094	threshold	full	320.87	667.8	1.4e-201	667.6	1.7e-201	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1411794_2	K01657	threshold	full	470.5	692.2	1.2e-208	692.0	1.4e-208	anthranilate synthase component I [EC:4.1.3.27]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1411794_5	K01658	threshold	domain	237.63	332.9	1.9e-100	332.7	2.1e-100	anthranilate synthase component II [EC:4.1.3.27]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1411794_5	K01664	threshold	full	311.93	335.5	3.7e-101	335.4	4.1e-101	para-aminobenzoate synthetase component II [EC:2.6.1.85]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1411794_6	K01512	rescued	domain	71.37	59.8	5.8e-17	59.8	5.9e-17	acylphosphatase [EC:3.6.1.7]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1415443_2	K03673	rescued	domain	68.03	53.6	3.8e-15	53.1	5.5e-15	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1415443_5	K03558	threshold	full	42.77	106.7	2.4e-31	106.5	2.7e-31	membrane protein required for colicin V production
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_14	K06958	threshold	full	147.17	421.3	7.2e-127	421.1	8.3e-127	RNase adapter protein RapZ
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_16	K05808	threshold	full	98.13	104.4	1e-30	104.0	1.4e-30	ribosome hibernation promoting factor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_17	K03092	threshold	domain	45.47	486.3	1.8e-146	485.6	3e-146	RNA polymerase sigma-54 factor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_2	K00338	threshold	domain	115.8	141.7	4.9e-42	141.5	5.8e-42	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_4	K00332	rescued	domain	180.77	163.5	2.1e-48	163.3	2.4e-48	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_5	K00331	threshold	domain	247.57	332.3	1e-99	332.1	1.1e-99	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_6	K00330	threshold	full	129.03	135.7	4e-40	135.6	4.3e-40	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_8	K01209	threshold	domain	88.8	406.0	6.7e-122	405.9	7.4e-122	alpha-L-arabinofuranosidase [EC:3.2.1.55]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_141661_9	K00847	threshold	domain	186.67	211.8	3.4e-63	211.6	4e-63	fructokinase [EC:2.7.1.4]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1433330_3	K02109	threshold	domain	41.83	48.1	2.2e-13	48.0	2.4e-13	F-type H+-transporting ATPase subunit b
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1433330_4	K02109	threshold	domain	41.83	62.7	8.2e-18	59.7	6.7e-17	F-type H+-transporting ATPase subunit b
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1433330_5	K02113	threshold	domain	45.33	127.7	1.3e-37	127.6	1.4e-37	F-type H+-transporting ATPase subunit delta
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441617_3	K02037	threshold	domain	255.9	341.6	1.7e-102	341.3	2.1e-102	phosphate transport system permease protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441617_4	K02038	threshold	domain	244.6	274.1	3.9e-82	273.9	4.5e-82	phosphate transport system permease protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441617_5	K02036	threshold	domain	264.13	446.4	1.4e-134	446.2	1.6e-134	phosphate transport system ATP-binding protein [EC:7.3.2.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441617_6	K02039	threshold	domain	139.57	219.1	2.2e-65	218.9	2.3e-65	phosphate transport system protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441668_1	K02527	threshold	full	148.53	509.3	2.9e-153	509.0	3.5e-153	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441668_4	K01737	threshold	full	25.7	128.7	5.9e-38	128.6	6.4e-38	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441668_6	K03722	threshold	full	228.83	727.9	3.2e-219	727.7	3.8e-219	ATP-dependent DNA helicase DinG [EC:5.6.2.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441668_7	K11358	threshold	full	332.9	366.2	4.2e-110	366.1	4.7e-110	aspartate aminotransferase [EC:2.6.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1446517_1	K03407	threshold	domain	503.27	539.5	2.5e-162	538.7	4.4e-162	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1446517_2	K01489	threshold	full	31.93	159.9	1.5e-47	159.7	1.7e-47	cytidine deaminase [EC:3.5.4.5]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1446517_3	K01803	threshold	full	27.97	321.6	1.2e-96	321.5	1.3e-96	triosephosphate isomerase (TIM) [EC:5.3.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1446517_7	K01283	threshold	full	72.0	766.7	4.8e-231	766.3	6.2e-231	peptidyl-dipeptidase A [EC:3.4.15.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1452868_2	K13640	threshold	full	96.53	125.6	3.9e-37	125.5	4e-37	MerR family transcriptional regulator, heat shock protein HspR
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1452868_3	K28868	threshold	domain	345.07	511.0	7.1e-154	510.9	7.8e-154	oligopeptide transporter family protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_11	K07124	threshold	domain	224.77	307.6	2.1e-92	307.5	2.3e-92	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_12	K01426	rescued	domain	298.43	233.9	8.2e-70	233.7	9.5e-70	amidase [EC:3.5.1.4]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_14	K06133	threshold	domain	62.67	175.2	3.6e-52	175.0	4.2e-52	4'-phosphopantetheinyl transferase [EC:2.7.8.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_17	K05946	threshold	full	236.67	291.5	2e-87	291.2	2.5e-87	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_19	K01991	threshold	full	109.93	154.4	8.1e-46	107.3	1.7e-31	polysaccharide biosynthesis/export protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_21	K01062	rescued	full	131.3	129.6	2.1e-38	126.1	2.3e-37	platelet-activating factor acetylhydrolase [EC:3.1.1.47]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_24	K16566	threshold	full	211.97	243.2	3.3e-73	242.4	5.9e-73	exopolysaccharide production protein ExoY
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_29	K01845	threshold	domain	312.0	402.8	4.8e-121	402.0	8.3e-121	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_33	K16703	rescued	domain	252.77	229.5	1.1e-68	229.3	1.3e-68	colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_34	K16870	threshold	domain	143.87	285.2	1.6e-85	285.0	1.9e-85	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_35	K00661	threshold	full	133.47	136.4	2e-40	136.3	2.2e-40	maltose O-acetyltransferase [EC:2.3.1.79]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_37	K00640	threshold	domain	93.67	180.4	1.1e-53	180.1	1.3e-53	serine O-acetyltransferase [EC:2.3.1.30]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_39	K02014	threshold	domain	156.33	216.9	1.2e-64	216.8	1.3e-64	iron complex outermembrane recepter protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_5	K02529	threshold	full	274.9	301.0	3.1e-90	300.9	3.4e-90	LacI family transcriptional regulator, galactose operon repressor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_7	K08222	threshold	full	114.27	253.2	6.3e-76	252.8	8.4e-76	MFS transporter, YQGE family, putative transporter
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_10	K00754	rescued	full	257.4	223.2	1.4e-66	223.0	1.7e-66	L-malate glycosyltransferase [EC:2.4.1.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_12	K01192	threshold	full	375.43	901.7	8.8e-272	901.5	1.1e-271	beta-mannosidase [EC:3.2.1.25]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_15	K09001	threshold	domain	104.77	442.4	3.3e-133	442.3	3.7e-133	anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_16	K03555	threshold	domain	696.03	1151.3	0.0	1151.1	0.0	DNA mismatch repair protein MutS
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_17	K03100	threshold	full	116.37	195.6	2.5e-58	195.4	2.7e-58	signal peptidase I [EC:3.4.21.89]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_18	K01956	threshold	domain	527.3	641.4	4.2e-193	641.2	4.6e-193	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_3	K00127	rescued	domain	69.3	62.0	1.1e-17	62.0	1.1e-17	formate dehydrogenase subunit gamma
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_6	K00127	threshold	domain	69.3	90.3	2.5e-26	89.7	3.7e-26	formate dehydrogenase subunit gamma
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_14554_7	K03286	threshold	domain	128.17	149.5	2.3e-44	146.8	1.6e-43	OmpA-OmpF porin, OOP family
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1457108_1	K14189	threshold	domain	203.03	355.0	7.1e-107	354.8	8.5e-107	uncharacterized oxidoreductase [EC:1.-.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1457108_4	K02556	threshold	full	96.53	211.9	2.6e-63	211.7	2.8e-63	chemotaxis protein MotA
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1457108_5	K02557	threshold	domain	141.9	247.2	3.9e-74	246.9	4.7e-74	chemotaxis protein MotB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1457108_7	K03737	threshold	domain	429.4	944.5	1.5e-284	944.2	1.8e-284	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.8.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_10	K11621	rescued	domain	66.0	71.7	8.8e-21	53.5	3.1e-15	lia operon protein LiaG
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_12	K01775	threshold	full	112.63	394.1	1.6e-118	393.9	1.8e-118	alanine racemase [EC:5.1.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_2	K05349	threshold	full	316.63	725.4	2e-218	725.1	2.4e-218	beta-glucosidase [EC:3.2.1.21]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_3	K03832	threshold	domain	33.93	80.6	3e-23	80.4	3.5e-23	periplasmic protein TonB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_4	K28868	threshold	domain	345.07	702.4	8.8e-212	702.2	9.9e-212	oligopeptide transporter family protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_5	K08968	threshold	domain	70.87	166.4	1.7e-49	166.2	1.9e-49	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_6	K03088	threshold	domain	98.57	172.0	3.6e-51	171.8	4.3e-51	RNA polymerase sigma-70 factor, ECF subfamily
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_14	K03631	threshold	full	196.73	641.6	3.8e-193	640.9	6.3e-193	DNA repair protein RecN (Recombination protein N)
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_15	K03561	threshold	full	56.43	180.4	1.3e-53	180.2	1.4e-53	biopolymer transport protein ExbB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_16	K03559	threshold	domain	30.73	127.8	9.1e-38	127.7	9.6e-38	biopolymer transport protein ExbD
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_17	K03832	threshold	domain	33.93	41.7	2.3e-11	41.3	2.9e-11	periplasmic protein TonB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_18	K03641	threshold	domain	123.43	229.1	2.2e-68	228.9	2.4e-68	TolB protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_19	K03640	threshold	domain	146.3	189.4	1.3e-56	189.3	1.5e-56	peptidoglycan-associated lipoprotein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_2	K01243	rescued	full	106.0	96.9	2.5e-28	96.4	3.5e-28	adenosylhomocysteine nucleosidase [EC:3.2.2.9]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_3	K00091	threshold	domain	318.93	451.2	3.5e-136	451.0	3.9e-136	dihydroflavonol-4-reductase [EC:1.1.1.219]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_8	K06045	threshold	full	573.97	821.8	1.3e-247	821.4	1.7e-247	squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_9	K03527	threshold	full	70.23	440.2	1.7e-132	439.9	2.2e-132	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1499277_3	K03550	threshold	full	46.13	221.3	2.5e-66	221.1	2.8e-66	holliday junction DNA helicase RuvA
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_10	K02945	threshold	domain	146.63	575.0	2.6e-173	359.7	4.4e-108	small subunit ribosomal protein S1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_3	K07164	threshold	domain	74.77	167.4	7.9e-50	167.2	9.4e-50	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_4	K07192	rescued	full	61.4	47.8	1.5e-13	46.2	4.5e-13	flotillin
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_6	K00864	threshold	full	512.77	752.0	1e-226	751.8	1.1e-226	glycerol kinase [EC:2.7.1.30]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_7	K19157	threshold	domain	35.7	95.2	8.2e-28	95.1	9e-28	mRNA interferase YafQ [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1510934_8	K07473	threshold	full	50.17	77.3	2e-22	77.3	2.2e-22	DNA-damage-inducible protein J
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_2	K02493	threshold	full	238.13	314.2	3.3e-94	314.0	3.7e-94	release factor glutamine methyltransferase [EC:2.1.1.297]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_3	K02835	threshold	full	359.53	534.9	4.3e-161	534.8	4.8e-161	peptide chain release factor 1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_4	K28280	threshold	full	49.73	52.1	1.4e-14	51.4	2.1e-14	antitoxin VapB22
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_6	K06978	threshold	full	237.17	379.7	6.1e-114	379.4	7.3e-114	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_7	K16264	threshold	domain	317.8	360.6	2.4e-108	360.5	2.6e-108	cobalt-zinc-cadmium efflux system protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1526698_2	K01129	threshold	full	95.97	339.8	5.6e-102	339.5	7.1e-102	dGTPase [EC:3.1.5.1]
