query	seed_ortholog	evalue	score	eggNOG_OGs	tax_ceiling	farthest_donor_lineage	COG_category	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	annotation_confidence
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_641979_9	240015.ACP_1351	4.49e-106	322.0	UNK.IWCP@131567|A-1	Prokaryota	1;131567;2;1783272;201174;1760;85006;85023;33877;33878;232089	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1837196_5	240015.ACP_1483	1.05e-113	339.0	ABC2_membrane@131567|rV-17	Prokaryota	1;131567;2;3379134;1224;28216;119066;327159;2619054;1895689	COG0842	yadH	-	-	K01992	-	-	-	-	00001,02000	-	-	-	ABC2_membrane_12_230	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1723608_5	240015.ACP_1574	5.01e-302	873.0	DUF11@131567|Do-12,TIG@131567|B-2	Prokaryota	1;131567;2;1783272;201174;1760;2037;2049;28263;28264;644284	COG6083	met	-	-	K21449	02024	-	-	-	00001,02000	-	-	-	DUF11_743_855,TIG_333_416,TIG_60_138,TIG_867_947	l--hl---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_801969_3	240015.ACP_1614	1.98e-99	303.0	UNK.ASEB@57723|A-1	Prokaryota	1;131567;2;3379134;57723;305072;1752182	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_425955_6	240015.ACP_1748	2.29e-68	212.0	MafB19-deam@131567|A-1	Prokaryota	1;131567;2;1783272;1239;909932;909929;1843491;52225;2637239;1321780;1321781	COG0590	tadA	GO:0002100,GO:0006382,GO:0008270,GO:0042803,GO:0052717	ec:3.5.4.33	K11991	00361,00625,01100,01120	-	-	-	00001,01000,03016	-	-	-	MafB19-deam_20_164	hlhhl---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1401714_11	240015.ACP_1806	3.2e-64	199.0	SelR@131567|Dq-12	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;33973;33075;240015	COG0229	msrB	-	ec:1.8.4.12	K07305	-	-	-	-	00001,01000	-	-	-	SelR_10_128	h-hh----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1539860_5	240015.ACP_2183	5.82e-178	518.0	MnmE_helical@131567|A-1,TrmE_N@131567|A-1,MMR_HSR1@131567|Gs-11	Prokaryota	1;131567;2;3379134;40117;203693;189778;189779;1234;1742972	COG0486	mnmE	-	-	K03650	-	-	-	-	00001,03016	-	-	-	MMR_HSR1_235_347,MnmE_helical_139_483,TrmE_N_8_136	h--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_13	240015.ACP_2188	1.12e-181	513.0	ALAD@131567|A-1	Prokaryota	1;131567;2;3379134;200940;3031449;213115;224380;66848;617002	COG0113	hemB	GO:0000287,GO:0004655,GO:0005829,GO:0006783,GO:0008270	ec:4.2.1.24	K01698	00860,01100,01110,01120,01240	M00121,M00846,M00868,M00926	-	-	00001,01000,04147	-	-	-	ALAD_6_326	hlhhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_641979_17	240015.ACP_2400	2.93e-37	135.0	DUF4252@2|j-6,DUF4252@131567|C-2	Prokaryota	1;131567;2;3379134;1783270;68336;976;37452;1797334	S	-	-	-	-	-	-	-	-	-	-	-	-	DUF4252_37_162	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441617_1	240015.ACP_2588	3.91e-112	342.0	Glyco_transf_4@131567|YJ-11,Glycos_transf_1@131567|DAO-23	Prokaryota	1;131567;2;3379134;200940;3031449;213115;224380;66848;66849;935942	COG0438	rfaG	-	-	K12583	-	-	-	-	00001,01003	-	-	-	Glyco_transf_4_59_211,Glycos_transf_1_218_371	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_4306_6	240015.ACP_2592	8.71e-233	657.0	tRNA-synt_1b@131567|c-6	Prokaryota	1;131567;2;2323;1783234;1783273;1794810;1752722;1802505	COG0180	trpS	-	ec:6.1.1.2	K01867	00970	-	-	-	00001,01000,01007,01613,03016	-	-	-	tRNA-synt_1b_9_283	h-hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_4306_13	240015.ACP_2619	1.88e-151	436.0	Aldo_ket_red@131567|NT-12	Prokaryota	1;131567;2;3379134;1224;1236;91347;1903414;626;290112;1427518	COG0667	yhdN_3	GO:0019170	-	K06607,K18471	00640,01100	-	-	-	00001	-	-	-	Aldo_ket_red_17_312	ml-ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1757538_12	240015.ACP_3035	2.37e-83	248.0	QueF@131567|A-1	Prokaryota	1;131567;2;3379134;1783257;203682;203683;2691356;1763524;466152;2627035;1882752	COG0780	queF	-	ec:1.7.1.13	K09457	00790,01100	-	-	-	00001,01000,03016	-	-	-	QueF_50_125	h-hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281819_11	240015.ACP_3114	7e-48	161.0	UNK.3B4V@57723|A-1	Prokaryota	1;131567;2;3379134;57723;305072;1803443	S	-	-	-	K02650	02020	-	-	-	00001,02035,02044	-	-	-	-	---hh---h----
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_315207_6	240015.ACP_3202	3.33e-45	155.0	UNK.7AIB@131567|A-1*,UNK.7AIB@204433|C-2,UNK.7AIB@204434|L-4	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;112074;1267533	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1183303_18	240015.ACP_3355	9.45e-61	210.0	GCV_T@131567|X-5	Prokaryota	1;131567;2;1783272;201174;1760;85006;85021;136099;913969;1385518	COG0354	ygfZ	-	-	K06980	-	-	-	-	00001,03016	-	-	-	GCV_T_28_244	h--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_22	240015.ACP_3407	2.76e-56	182.0	PgpA@131567|A-1	Prokaryota	1;131567;2;68525;28221;122706;1640514	COG1267	pgpA	GO:0004438,GO:0006665,GO:0046488	ec:3.1.3.27	K01095	00564,01100	-	-	-	00001,01000	-	-	-	PgpA_16_159	llhhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_873008_17	660470.Theba_1115	4.81e-05	46.6	MazE_antitoxin@131567|c-6	Prokaryota	1;131567;2;2323;1783234;1783273;1794810;1752720;1618446	COG2002	AbrB	-	-	K07172	-	-	-	-	00001,02048	-	-	-	MazE_antitoxin_4_44	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1195001_3	713604.RAM_40220	7.77e-51	200.0	Glyco_hydro_44@131567|A-1,CBM_2@131567|QG-16,CBM_2@2|aV-18,fn3@131567|PO-17,fn3@2|BqT-26	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;1890424;1890426;1129;2626047;64471	COG6083	manA_1	-	ec:3.2.1.155,ec:3.2.1.4	K01179,K18578	00500,01100,02020	-	-	-	00001,01000	-	CBM10|Carbohydrate-Binding Module Family 10.,CBM2|Carbohydrate-Binding Module Family 2.,CBM3|Carbohydrate-Binding Module Family 3.,GH9|Glycoside Hydrolase Family 9.	-	CBM_2_625_718,Glyco_hydro_44_77_312,fn3_536_609	m-lll---l-l-h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_447154_9	156889.Mmc1_0097	2.16e-25	112.0	Sigma54_activat@131567|BJx-28,HTH_8@131567|ASd-22	Prokaryota	1;131567;2;3379134;1224;3118669;1191478;1191479;162171;1124597;156889	COG3284	-	-	-	-	-	-	-	-	-	-	-	-	HTH_8_277_316,Sigma54_activat_11_176	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1743223_7	504.KKKWG1_0911	4.84e-20	85.9	RelE@131567|F-3	Prokaryota	1;131567;2;3379134;1224;28211;356;82115;227290;379;2613769;1132836	COG4737	-	-	-	-	-	-	-	-	-	-	-	-	RelE_1_120	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1673773_9	1144310.PMI07_001226	6.24e-17	76.6	HicB@131567|A-1	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;3079749;1890438;1005722;268141;1666911	COG4226	-	-	-	K02034,K07497,K18843	02024	-	-	-	00001,02000,02048	-	-	-	HicB_10_36	---ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_315207_3	1144310.PMI07_003061	9.16e-23	92.0	HigB-like_toxin@131567|O-4	Prokaryota	1;131567;2;3379134;1224;28211;204455;31989;34008;2631432;1187851	COG3549	higB-1	-	-	K07334	-	-	-	-	00001,02048	-	-	-	HigB-like_toxin_4_93	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_69_5	1144310.PMI07_003843	7.94e-45	148.0	UNK.LDY6@2|A-1	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;1161;1182;1203;34078;128403	COG3657	hicA	-	-	-	-	-	-	-	-	-	-	-	-	l------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_10	1437059.A6A05_19595	1.4e-25	99.4	BrnA_antitoxin@131567|l-6	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;940557;474950	COG3514	-	-	-	-	-	-	-	-	-	-	-	-	BrnA_antitoxin_25_88	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_124654_3	1173264.GCA_000332095_01054	9.96e-50	164.0	PIN@131567|Al-7	Prokaryota	1;131567;2;68525;28221;122706;1797894	COG1848	vapC	-	-	K07064,K18828	-	-	-	-	00001,02048,03016	-	-	-	PIN_14_135	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_792531_5	316067.Geob_2960	2.16e-34	121.0	HigB-like_toxin@131567|N-4	Prokaryota	1;131567;2;3379134;3018035;3031418;213481;404130;1797388	-	higB-1	-	-	K07334	-	-	-	-	00001,02048	-	-	-	HigB-like_toxin_3_92	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1183303_15	1945856.B0E50_06695	6.46e-149	424.0	AIM24@131567|A-1	Prokaryota	1;131567;2;2323;1783234;74243;1617427	COG2013	tig_1	-	-	-	-	-	-	-	-	-	-	-	AIM24_4_212	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_3	888845.A7982_09828	2.15e-139	416.0	AMP-binding|6WFFK6@2	Prokaryota	1;131567;2;1783272;201174;1760;85007;85025;1817;2637762;1169152	-	cfa5	-	ec:6.2.1.3	K01897	00061,00071,01100,01212,02024	M00086	-	-	00001,01000,01004,04147	-	-	-	AMP-binding_32_377	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_7	888845.A7982_09832	8.58e-94	283.0	adh_short@131567|CAF-29	Prokaryota	1;131567;2;3379134;2818505;3031711;3031712;49;1649470;888845	COG1028	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_7_194	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1401714_2	1776384.GCA_900086585_00645	8.08e-26	124.0	GGDEF@131567|NRV-25,AAA_16@131567|CL-9,GAF_2@131567|CU-9!,Pkinase|DS9W2B@131567,Pkinase|DS9W2B@2	Prokaryota	1;131567;2;3379134;1224;1236;1706369;1706371;1792291;1513270	COG3899	pknB	GO:0004673	ec:3.1.3.3	K07003,K07315	-	-	-	-	00001,01000,03021	-	-	-	AAA_16_307_494,GAF_2_1331_1475,GGDEF_1512_1669,Pkinase_35_272	llll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1406232_4	743299.Acife_1157	5.99e-16	73.2	DUF433@131567|CC-9,DUF433@2|aJ-16	Prokaryota	1;131567;2;2323;1783234;1817803;1817863	COG2442	-	-	-	-	-	-	-	-	-	-	-	-	DUF433_7_62	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_25	1895717.BGO01_17225	2.03e-133	406.0	UNK.84ZM@2|A-1	Prokaryota	1;131567;2;3379134;1783270;68336;1134404;795747;1798416;1798433	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_69_6	81479.RA876_08495	1.64e-50	162.0	UNK.I2L3@2|A-1	Prokaryota	1;131567;2;68525;28221;122706;1797867	COG3636	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_39157_1	1798576.A2X46_03995	1.74e-92	281.0	GFO_IDH_MocA@131567|FZ-11	Prokaryota	1;131567;2;1783272;200795;32061;3139175;3139182;1895928	COG0673	iolG_2	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA_2_117	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1600970_1	1798576.A2X46_14930	9.24e-09	69.3	MBG_3@131567|A-1,TIG@131567|C-2!	Prokaryota	1;131567;2;3379134;1783270;68336;976;117747;200666;84566;416949;1477437	COG6083	-	-	-	K19231,K20276,K21449	02024	-	-	-	00001,02000	-	-	-	MBG_3_605_675,MBG_3_677_748,TIG_320_384	---ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1188064_4	1736375.ASG62_00500	1.84e-51	165.0	HTH_3@131567|Vv-21	Prokaryota	1;131567;2;3379134;1224;1236;91347;543;2055880;566;1115515	-	higA-2	-	ec:2.1.1.72,ec:3.4.21.88,ec:5.6.2.3	K07726	03030	-	-	-	00001,03000	-	-	-	HTH_3_52_96	m-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_9	1104605.GCA_000404425_00201	1.84e-132	405.0	Dynamin_N@131567|Et-10	Prokaryota	1;131567;2;1783272;201174;1760;85006;85021;99479;99481;1194083	COG1159	-	-	-	-	-	-	-	-	-	-	-	-	Dynamin_N_44_201	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_905935_3	1736382.ASG52_18710	1.82e-62	195.0	UNK.MEES@2|A-1	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;2881377;1890436;132605;2632864;1880902	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_641979_4	376620.A0J51_00642	1.61e-72	227.0	LysE@131567|FK-10	Prokaryota	1;131567;2;3379134;1224;28211;204457;41297;13687;196159;1882773	COG1280	yrhP	-	-	-	-	-	-	-	-	-	-	-	LysE_17_212	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_324538_4	1797894.A3F90_02325	8.88e-51	166.0	Xre-like-HTH@131567|C-2,Xre_MbcA_ParS_C@131567|C-2	Prokaryota	1;131567;2;3379134;1224;28216;32003;2008790;919;2646513;1895858	COG5642	-	-	-	-	-	-	-	-	-	-	-	-	Xre-like-HTH_25_87,Xre_MbcA_ParS_C_92_141	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_332152_14	326427.Cagg_0070	7.72e-18	93.6	FAD_binding_2@131567|At-8	Prokaryota	1;131567;2;3379134;200940;3031648;2914038;213468;1510979;1805378	COG2440	nadB	GO:0005515	ec:1.1.5.3	K00112	00564,01110	-	-	-	00001,01000	-	-	-	FAD_binding_2_3_375	mlhhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1644670_6	229920.ADM99_02685	2.8e-70	218.0	Oxidored_q6@131567|B-2	Prokaryota	1;131567;2;3379134;1224;580370;1131280;1805430	COG1740	hoxY	-	ec:1.12.1.2	K18007	-	-	-	-	00001,01000	-	-	-	Oxidored_q6_15_162	m-mm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_392638_2	229920.ADM99_07420	3.15e-178	506.0	SBF@131567|BM-11	Prokaryota	1;131567;2;3379134;1783270;68336;976;200643;171549;171552;2974251;185294;1122990	COG0798	arsB	-	-	K03325	-	-	-	-	00001,02000	-	-	-	SBF_56_251	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1354354_15	1321781.HMPREF1985_00509	1.22e-50	195.0	MM_CoA_mutase@131567|B-2	Prokaryota	1;131567;2;3379134;1783270;68336;976;768503;768507;1853233;28194;55505;1313301	-	scpA_3	GO:1902859	ec:5.4.99.2	K01847	00280,00630,00640,00720,01100,01120,01200,04980	M00373,M00376,M00741	-	-	00001,01000	-	-	-	MM_CoA_mutase_62_565	llhhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1549240_4	1898207.SAMN06297397_2898	5.27e-09	63.9	TsaD@131567|B-2	Prokaryota	1;131567;2;2323;1783234;1783273;1794810;1752718;1797768	-	ydiC	GO:0000408,GO:0002949,GO:0005515,GO:0005829,GO:0008237,GO:0042802,GO:1990145	-	K14742	-	-	-	-	00001,03016	-	-	-	TsaD_33_144	ml-h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_8	886293.Sinac_2370	5.1e-58	192.0	UNK.2U37@2|A-1	Prokaryota	1;131567;2;2323;1783234;74243;1617426	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_19	886293.Sinac_2998	1.78e-07	55.5	HhH-GPD@131567|Cp-10	Prokaryota	1;131567;2;3379134;200940;3024418;213118;213119;2289;2290;1121396	COG0177	nth	-	ec:4.2.99.18	K10773	03410	-	-	-	00001,01000,03400	-	-	-	HhH-GPD_43_178	h-hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_127176_11	401053.AciPR4_0378	3.98e-06	50.4	UNK.634U@204433|A-1	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;112074;1380348	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_576302_18	401053.AciPR4_0613	5.17e-97	289.0	HlyIII@131567|A-1	Prokaryota	1;131567;2;1783272;1239;91061;1385;186822;44249;669461;1236976	COG1272	yplQ	-	-	K11068	-	-	-	-	00001,02042	-	-	-	HlyIII_18_207	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1989745_10	401053.AciPR4_0935	3.88e-06	48.9	Aldo_ket_red@131567|au-14	Prokaryota	1;131567;2;3379134;1224;28211;204455;2854170;188905;2645469;290400	COG0667	ydbC	-	ec:1.1.1.65	K05275	00750,01100,01120	-	-	-	00001,01000	-	-	-	Aldo_ket_red_14_275	l-hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_425955_3	401053.AciPR4_1793	5.27e-113	327.0	PvlArgDC@131567|A-1	Prokaryota	1;131567;2;2323;1783234;67817;910038;1047013	COG1945	pdaD	-	ec:4.1.1.19	K02626	00330,01100,01110	M00133	-	-	00001,01000	-	-	-	PvlArgDC_4_181	l-hhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_855330_11	401053.AciPR4_2422	4.44e-84	273.0	UNK.3HX6@131567|A-1,UNK.3HX6@204432|z-7,UNK.3HX6@204434|Bo-10	Prokaryota	1;131567;2;3379134;57723;204432;332160;1962910;911113;360054;1340493	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_20	401053.AciPR4_2833	6.81e-154	476.0	TPR_8@131567|Jt-12,Trans_reg_C@131567|fp-20	Prokaryota	1;131567;2;3379134;1783270;68336;976;768503;768507;563798;246875;279824	COG3903	cadC	GO:0005515,GO:0005886,GO:0042803,GO:0045893	ec:2.7.11.1	K12132	00230,01100,02020	-	-	-	00001,01000,01001	-	-	-	TPR_8_450_481,Trans_reg_C_27_100	llhhl---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_221503_7	401053.AciPR4_2960	2.67e-34	132.0	Phage_integrase@57723|DOW-19,Phage_integrase@131567|C-2!	Prokaryota	1;131567;2;3379134;1783270;68336;976;117747;200666;84566;84567;188932	COG4974	Int-Tn_2	-	ec:5.6.2.4	K04763,K14059,K16898	-	-	-	-	00001,01000,03036,03400	-	-	-	Phage_integrase_189_372	l-ll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_4306_16	401053.AciPR4_3844	4.33e-89	270.0	AAA_21@131567|B-2	Prokaryota	1;131567;2;3379134;203691;203692;1643688;170;171;174;328971	-	btuD	GO:0003674,GO:0005575,GO:0008150	-	-	-	-	-	-	-	-	-	-	AAA_21_137_194	ll----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_9	401053.AciPR4_3916	3.87e-47	157.0	PIN@131567|N-4	Prokaryota	1;131567;2;3379134;1783270;68336;976;1937959;1936988;1937960;2993541;478744	COG1848	vapC	GO:0005886,GO:0045926	-	K07064	-	-	-	-	00001	-	-	-	PIN_8_133	ll-h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_3	401053.AciPR4_3994	1.96e-45	160.0	TonB_C@57723|Hkr-37,TonB_C@131567|IY-10!	Prokaryota	1;131567;2;3379134;1224;28216;80840;80864;52972;2638319;1855301	COG0810	tonB	-	-	K03832	-	-	-	-	00001,02000	-	-	-	TonB_C_186_260	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_829360_1	401053.AciPR4_4048	3.23e-56	186.0	Cytochrome_C7@131567|A-1	Prokaryota	1;131567;2;3379134;2818505;3031711;3031712;1524216;1524217;1391654	COG2010	actA	-	-	K23300	-	-	-	-	00001	-	-	-	Cytochrome_C7_126_174	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_447622_7	1834161.A5733_06165	2.05e-54	176.0	DUF1810@131567|A-1	Prokaryota	1;131567;2;1783272;201174;1760;1643682;85030;2183612;1225127	COG5579	-	-	-	-	-	-	-	-	-	-	-	-	DUF1810_6_141	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1890997_11	1882772.SAMN05443582_102107	1.36e-14	71.6	VapB_antitoxin@2|B-2!	Prokaryota	1;131567;2;1783272;201174;1760;52018;1895696	S	vapB	GO:0005576,GO:0045927	-	-	-	-	-	-	-	-	-	-	VapB_antitoxin_1_42	ll----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_12	1882772.SAMN05443582_102661	2.67e-155	443.0	Abhydrolase_1@131567|Aeu-19	Prokaryota	1;131567;2;3379134;1224;28211;204457;41297;165696;2644732;1884364	COG0596	cpo	-	ec:1.11.1.10	K00433	-	-	-	-	00001,01000	-	-	-	Abhydrolase_1_74_305	l-mm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_127216_4	1801689.A2W75_07515	1.59e-25	96.7	HicA_toxin@131567|Eu-11	Prokaryota	1;131567;2;3379134;40117;1298915;1801702	COG1724	-	-	-	-	-	-	-	-	-	-	-	-	HicA_toxin_4_60	------------h
